,artist_name,popularity,track_name
0,Post Malone,99,Wow.
1,Los Unidades,66,E-Lo (feat. Jozzy)
2,Post Malone,98,Sunflower - Spider-Man: Into the Spider-Verse
3,Meek Mill,95,Going Bad (feat. Drake)
4,YNW Melly,94,Murder On My Mind
5,A Boogie Wit da Hoodie,93,Swervin (feat. 6ix9ine)
6,21 Savage,92,a lot
7,Lil Baby,91,Drip Too Hard (Lil Baby & Gunna)
8,Blueface,92,Thotiana
9,Travis Scott,94,SICKO MODE
10,Halsey,96,Without Me
11,Marshmello,97,Happier
12,Kodak Black,92,ZEZE (feat. Travis Scott & Offset)
13,Sheck Wes,91,Mo Bamba
14,Juice WRLD,91,Lucid Dreams
15,XXXTENTACION,91,SAD!
16,Post Malone,93,Better Now
17,Khalid,87,Better
18,Cardi B,89,Money
19,Flipp Dinero,89,Leave Me Alone
20,Juice WRLD,88,Armed And Dangerous
21,Calboy,87,Envy Me
22,A Boogie Wit da Hoodie,90,Look Back At It
23,XXXTENTACION,91,Moonlight
24,Billie Eilish,92,when the party's over
25,Ski Mask The Slump God,88,Faucet Failure
26,Billie Eilish,91,lovely (with Khalid)
27,Panic! At The Disco,94,High Hopes
28,Metro Boomin,87,Space Cadet (feat. Gunna)
29,Gucci Mane,89,Wake Up in the Sky
30,Lil Baby,86,Pure Cocaine
31,Alec Benjamin,93,Let Me Down Slowly
32,Post Malone,91,rockstar (feat. 21 Savage)
33,benny blanco,91,Eastside (with Halsey & Khalid)
34,Drake,88,Nonstop
35,Lady Gaga,96,Shallow
36,Ava Max,97,Sweet but Psycho
37,Tyga,90,Taste (feat. Offset)
38,Bad Bunny,94,MIA (feat. Drake)
39,Lil Baby,85,Yes Indeed
40,Lil Mosey,87,Noticed
41,Juice WRLD,86,All Girls Are The Same
42,Dean Lewis,92,Be Alright
43,Kodak Black,84,Calling My Spirit
44,Cardi B,90,I Like It
45,Post Malone,89,Psycho (feat. Ty Dolla $ign)
46,Ellie Goulding,91,Close To Me (with Diplo) (feat. Swae Lee)
47,DJ Snake,95,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)"
48,Ski Mask The Slump God,84,Nuketown (feat. Juice WRLD)
49,Travis Scott,85,YOSEMITE
50,Post Malone,99,Wow.
51,Los Unidades,66,E-Lo (feat. Jozzy)
52,Post Malone,98,Sunflower - Spider-Man: Into the Spider-Verse
53,Meek Mill,95,Going Bad (feat. Drake)
54,YNW Melly,94,Murder On My Mind
55,A Boogie Wit da Hoodie,93,Swervin (feat. 6ix9ine)
56,21 Savage,92,a lot
57,Lil Baby,91,Drip Too Hard (Lil Baby & Gunna)
58,Blueface,92,Thotiana
59,Travis Scott,94,SICKO MODE
60,Halsey,96,Without Me
61,Marshmello,97,Happier
62,Kodak Black,92,ZEZE (feat. Travis Scott & Offset)
63,Sheck Wes,91,Mo Bamba
64,Juice WRLD,91,Lucid Dreams
65,XXXTENTACION,91,SAD!
66,Post Malone,93,Better Now
67,Khalid,87,Better
68,Cardi B,89,Money
69,Flipp Dinero,89,Leave Me Alone
70,Juice WRLD,88,Armed And Dangerous
71,Calboy,87,Envy Me
72,A Boogie Wit da Hoodie,90,Look Back At It
73,XXXTENTACION,91,Moonlight
74,Billie Eilish,92,when the party's over
75,Ski Mask The Slump God,88,Faucet Failure
76,Billie Eilish,91,lovely (with Khalid)
77,Panic! At The Disco,94,High Hopes
78,Metro Boomin,87,Space Cadet (feat. Gunna)
79,Gucci Mane,89,Wake Up in the Sky
80,Lil Baby,86,Pure Cocaine
81,Alec Benjamin,93,Let Me Down Slowly
82,Post Malone,91,rockstar (feat. 21 Savage)
83,benny blanco,91,Eastside (with Halsey & Khalid)
84,Drake,88,Nonstop
85,Lady Gaga,96,Shallow
86,Ava Max,97,Sweet but Psycho
87,Tyga,90,Taste (feat. Offset)
88,Bad Bunny,94,MIA (feat. Drake)
89,Lil Baby,85,Yes Indeed
90,Lil Mosey,87,Noticed
91,Juice WRLD,86,All Girls Are The Same
92,Dean Lewis,92,Be Alright
93,Kodak Black,84,Calling My Spirit
94,Cardi B,90,I Like It
95,Post Malone,89,Psycho (feat. Ty Dolla $ign)
96,Ellie Goulding,91,Close To Me (with Diplo) (feat. Swae Lee)
97,DJ Snake,95,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)"
98,Ski Mask The Slump God,84,Nuketown (feat. Juice WRLD)
99,Travis Scott,85,YOSEMITE
