,lil_artists,lil_popularity
0,Lil Baby,90
1,Lil Skies,88
2,Lil Uzi Vert,88
3,Lil Yachty,85
4,Lil Pump,87
5,Lil Peep,86
6,Lil Mosey,80
7,Lil Durk,77
8,Lil Nas X,78
9,Lil Tjay,74
10,Lil Jon,76
11,Lil Xan,75
12,Lil Dicky,73
13,Smokepurpp,74
14,G Herbo,70
15,Boosie Badazz,69
16,Lil' Kim,70
17,Lil Tracy,68
18,Lil Keed,64
19,King Lil G,62
20,Lil Jon & The East Side Boyz,66
21,Lil Wyte,59
22,Lil Gotit,59
23,Lil Rob,57
24,Lil' Flip,57
25,lil aaron,59
26,Lil 2z,55
27,Lil Donald,55
28,Lil Scrappy,56
29,Lil' Mo,58
30,Lil Keke,54
31,Lil Reese,57
32,Bow Wow,64
33,Lil Happy Lil Sad,60
34,GNAR,59
35,Lil Pete,53
36,Lil Duval,55
37,Lil Quee,55
38,Lil Baby,53
39,Lil Boom,53
40,Lil' Troy,52
41,Lil AK,58
42,Lil Bibby,53
43,Lil West,54
44,Lil Tecca,53
45,lil ricefield,52
46,Lil Phat,48
47,Lil Barnacle,50
48,Lil Bo Weep,55
49,LiL Lotus,52
50,Lil Baby,90
51,Lil Skies,88
52,Lil Uzi Vert,88
53,Lil Yachty,85
54,Lil Pump,87
55,Lil Peep,86
56,Lil Mosey,80
57,Lil Durk,77
58,Lil Nas X,78
59,Lil Tjay,74
60,Lil Jon,76
61,Lil Xan,75
62,Lil Dicky,73
63,Smokepurpp,74
64,G Herbo,70
65,Boosie Badazz,69
66,Lil' Kim,70
67,Lil Tracy,68
68,Lil Keed,64
69,King Lil G,62
70,Lil Jon & The East Side Boyz,66
71,Lil Wyte,59
72,Lil Gotit,59
73,Lil Rob,57
74,Lil' Flip,57
75,lil aaron,59
76,Lil 2z,55
77,Lil Donald,55
78,Lil Scrappy,56
79,Lil' Mo,58
80,Lil Keke,54
81,Lil Reese,57
82,Bow Wow,64
83,Lil Happy Lil Sad,60
84,GNAR,59
85,Lil Pete,53
86,Lil Duval,55
87,Lil Quee,55
88,Lil Baby,53
89,Lil Boom,53
90,Lil' Troy,52
91,Lil AK,58
92,Lil Bibby,53
93,Lil West,54
94,Lil Tecca,53
95,lil ricefield,52
96,Lil Phat,48
97,Lil Barnacle,50
98,Lil Bo Weep,55
99,LiL Lotus,52
