,explicit,song_name
0,False,Hello Beautiful
1,False,Hello?
2,True,Hello
3,False,Hello
4,False,Hello My Old Heart
5,False,Hello
6,False,You Can't Hurry Love - 2016 Remaster
7,False,Hello
8,False,Ready or Not
9,False,Intergalactic - Remastered
10,False,Hello My Love
11,False,Hello Darlin'
12,False,Hello!
13,False,"Hello, My Name Is"
14,False,"Hello, Goodbye - Remastered 2009"
15,True,Hello (feat. Lil Pump)
16,False,Hello
17,False,Hello Bitches
18,False,Hello
19,True,Hello Ego
20,False,"Hello, I Love You"
21,False,Hello Happiness
22,False,Hurricane
23,False,Brokenhearted
24,False,All My Best Friends Are Metalheads
25,False,Hello Tutorial
26,False,Say Hello 2 Heaven
27,False,Hello
28,False,Hello
29,False,Hello
30,False,Here (In Your Arms)
31,False,I Smile
32,False,Hello!
33,False,Hello Summer
34,False,Hello Euphoria
35,True,Nola (feat. Khary & Hello Oshay)
36,False,Hello Friend
37,False,Hello
38,False,Hello It's Me
39,False,"Hello, Anxiety"
40,False,Hello (feat. Dragonette)
41,False,"Hello, Goodbye - Remastered 2015"
42,False,Hello
43,False,Hello Beautiful
44,False,Had Me @ Hello
45,False,Say Hello 2 Heaven - 25th Anniversary Mix
46,True,Hello
47,True,Hello There
48,False,Goya No Machiawase
49,False,Hello
50,False,Hello Beautiful
51,False,Hello?
52,True,Hello
53,False,Hello
54,False,Hello My Old Heart
55,False,Hello
56,False,You Can't Hurry Love - 2016 Remaster
57,False,Hello
58,False,Ready or Not
59,False,Intergalactic - Remastered
60,False,Hello My Love
61,False,Hello Darlin'
62,False,Hello!
63,False,"Hello, My Name Is"
64,False,"Hello, Goodbye - Remastered 2009"
65,True,Hello (feat. Lil Pump)
66,False,Hello
67,False,Hello Bitches
68,False,Hello
69,True,Hello Ego
70,False,"Hello, I Love You"
71,False,Hello Happiness
72,False,Hurricane
73,False,Brokenhearted
74,False,All My Best Friends Are Metalheads
75,False,Hello Tutorial
76,False,Say Hello 2 Heaven
77,False,Hello
78,False,Hello
79,False,Hello
80,False,Here (In Your Arms)
81,False,I Smile
82,False,Hello!
83,False,Hello Summer
84,False,Hello Euphoria
85,True,Nola (feat. Khary & Hello Oshay)
86,False,Hello Friend
87,False,Hello
88,False,Hello It's Me
89,False,"Hello, Anxiety"
90,False,Hello (feat. Dragonette)
91,False,"Hello, Goodbye - Remastered 2015"
92,False,Hello
93,False,Hello Beautiful
94,False,Had Me @ Hello
95,False,Say Hello 2 Heaven - 25th Anniversary Mix
96,True,Hello
97,True,Hello There
98,False,Goya No Machiawase
99,False,Hello
